-0.306394,-0.420474,-0.826047,0.9999
0.136358,-0.0606801,0.769744,0.9999
0.537405,0.722822,0.123738,0.999899
-0.208867,0.211572,0.370787,0.9999
0.31546,-0.246103,0.688105,0.999901
0.066785,0.628445,-0.257308,0.9999
0.15751,0.735855,0.463405,0.9999
-0.306116,0.274081,0.303698,0.9999
-0.0137552,-0.441528,-0.809459,0.9999
0.70708,-0.0699162,-0.0278974,0.9999
0.359824,-0.0798161,-0.317857,0.9999
0.432351,0.546577,0.219262,0.9999
-0.633747,0.149054,-0.159523,0.999899
0.339064,-0.398798,0.79067,0.9999
0.194861,0.137694,-0.576034,0.9999
-0.628293,-0.10412,-0.579583,0.9999
0.595291,-0.0816716,0.336798,0.9999
0.257834,-0.484909,-0.650213,0.999899
0.873829,0.140147,-0.093522,0.9999
-0.717431,0.375532,-0.523078,0.9999
-0.182928,0.194412,0.195688,0.9999
0.353227,0.731928,-0.192206,0.9999
0.159124,-0.245021,0.309945,0.9999
-0.57855,-0.434072,0.12743,0.9999
-0.171999,0.415831,0.00915338,0.9999
0.159443,-0.0545701,-0.364179,0.9999
0.262033,0.864716,0.396117,0.9999
-0.760252,-0.410728,-0.292844,0.9999
0.110591,0.137824,-0.0756482,0.9999
0.380196,-0.642915,0.277774,0.9999
-0.0608865,0.0498306,0.966748,0.9999
-0.0649802,-0.920355,0.159371,0.999899
-0.103051,-0.622465,-0.593839,0.9999
-0.348826,0.819702,0.393144,0.9999
0.578187,0.600669,-0.541211,0.9999
0.121061,-0.235871,-0.382058,0.999901
0.100126,-0.959067,0.0609917,0.999899
0.285276,0.648448,0.175116,0.9999
-0.216167,0.590295,0.377583,0.9999
0.449032,-0.0624062,0.64328,0.9999
0.601177,-0.0828843,0.462968,0.9999
-0.670742,0.169915,-0.0268926,0.9999
-0.417939,0.424755,0.390894,0.999899
0.530162,-0.508605,0.0504608,0.9999
-0.676443,-0.20489,0.677562,0.9999
-0.482566,0.422153,-0.573072,0.999899
0.752831,-0.410484,-0.0804117,0.9999
0.0869202,-0.629386,0.12898,0.9999
0.439327,0.253756,-0.478321,0.9999
0.193999,0.385942,0.182748,0.9999
0.469407,0.0923389,0.680384,0.9999
0.551941,0.0607007,0.374154,0.9999
-0.229132,-0.216836,0.898067,0.9999
0.383003,-0.395248,-0.532176,0.9999
-0.625758,0.468623,-0.23036,0.9999
-0.435829,0.00461198,-0.411285,0.9999
0.15893,0.5118,0.697215,0.9999
0.300653,-0.0825822,-0.745089,0.9999
0.477991,-0.81058,-0.278651,0.999899
-0.583055,0.102019,-0.0734606,0.9999
0.0343172,-0.449619,-0.152212,0.999899
0.236739,0.512952,0.130704,0.9999
-0.198139,-0.108115,0.490079,0.9999
-0.121025,-0.210127,-0.102846,0.9999
-0.860368,-0.148592,-0.245846,0.9999
-0.463042,-0.199507,0.317065,0.9999
-0.428103,0.10325,0.0467255,0.999899
-0.500786,-0.103974,-0.223489,0.9999
0.396482,-0.586157,-0.166134,0.9999
-0.0322756,-0.79021,-0.0343273,0.9999
0.0897766,0.250847,-0.235105,0.9999
